Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Abstract,Publication Stage,Access Type,EID
"Wang Q., Zhong Y., Liu W., Wang Z., Gu L., Li X., Zheng J., Du H., Zhong Z., Xie F.","55553732688;54794713700;57203342283;45961704500;57205577957;57205589421;57191663147;57205572256;7402336602;57200918698;","Enhanced chemotherapeutic efficacy of the low-dose doxorubicin in breast cancer via nanoparticle delivery system crosslinked hyaluronic acid",2019,"Drug delivery",,"10.1080/10717544.2018.1507057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060646757&doi=10.1080%2f10717544.2018.1507057&partnerID=40&md5=3d895a5d4ae1f5d6057b101e81a443dd","Despite the development of treatment options in breast cancer, many patients die of recurrence and metastasis. Owing to enhanced permeability and retention in solid tumor tissue, nanoparticle (NP) delivery systems have been emerged as novel strategy in cancer chemotherapy. As extracellular matrix, glycosaminoglycan hyaluronan (HA) could bind its surface receptor adhesion molecule CD44 which is strongly expressed on breast cancer. We have previously reported a doxorubicin (DOX)-loaded HA-Lys-LA X-NPs (X-NP-DOX) NP delivery system for breast cancer treatment. In this study, we further investigated the antitumor effect of X-NP-DOX NP delivery system using low-dose DOX in both in vitro and in vivo systems. We demonstrated that low-dose X-NP-DOX possessed the ability for inhibiting MCF-7 breast cancer cell growth, invasion, and migration, and inducing apoptosis in vitro. In in vivo experiments, injection of low-dose X-NP-DOX into tumor-bearing mouse resulted in significant reduction of tumor size. Terminal deoxynucleotidyl transferase-mediated dUTP nick end labeling staining further revealed that low-dose X-NP-DOX induced higher percentage of apoptotic cells compared with free DOX or saline. Furthermore, our study demonstrated that low-dose X-NP-DOX inhibited Notch1 and Ras/MAPK pathways, decreased cancer stem cell population, and reduced tumorigenesis compared to free DOX in both in vitro and in vivo settings. Owing to its enhanced efficacy and higher targetability compared to free DOX, low-dose DOX delivered by NP system may be a promising novel strategy for breast cancer treatment.","Final",Open Access,2-s2.0-85060646757
"Duggan C., Molina Y., Carosso E., Ibarra G., Thompson B.","36936043100;18437713500;55204773200;22953586800;7402482826;","County of residence and screening practices among Latinas and non-Latina whites in two rural communities",2019,"Ethnicity and Disease",,"10.18865/ed.29.1.31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060785921&doi=10.18865%2fed.29.1.31&partnerID=40&md5=9fb5318c6bb1df1022f784e9dcfc1bb8","Objectives: Latinas are less likely than non-Latina Whites (NLW) to utilize mammographic screening and are more likely to be diagnosed with late-stage breast cancer. Here, we examine the effects of county-level factors on guideline-concordant breast-cancer screening behaviors in Latinas and NLWs. Design: Latinas (N=108) and NLW women (N=132) aged >40 years, residing in two adjacent rural, medically underserved counties in eastern Washington State, completed a baseline questionnaire on mammography utilization and demographics. Main Outcomes: Differences in socioeconomic variables and knowledge of screening practices were examined by ethnicity and county of residence. Predictors of having had a mammogram within the past two years were analyzed using multivariate logistic regression. Results: Ethnicity was not associated with having a guideline-concordant mammogram; however, age (odds ratio [OR]=1.04, 95%CI:1.01-1.08); having >12 years of education (OR=2.09, 95%CI:1.16-3.79); having a regular clinic for health care (OR=2.22, 95%CI:1.05-4.70); having had a prior clinical breast exam (OR=5.07, 95%CI:1.71-15.02), and county of residence (OR=2.27, 95%CI:1.18-4.37) were all associated with having had a guideline-concordant mammogram. Conclusions: County of residence and having had a prior CBE were strong predictors of screening utilization. Community-level factors in medically underserved areas may influence screening patterns. © 2019 Ethnicity & Disease Inc. All rights reserved.","Final",,2-s2.0-85060785921
"Kahraman M., Govek S.P., Nagasawa J.Y., Lai A., Bonnefous C., Douglas K., Sensintaffar J., Liu N., Lee K., Aparicio A., Kaufman J., Qian J., Shao G., Prudente R., Joseph J.D., Darimont B., Brigham D., Heyman R., Rix P.J., Hager J.H., Smith N.D.","36771049300;6507467157;8672170700;56699475500;8709910000;56699531300;12041458800;57205378105;56698954500;57203199629;56937731700;55276937800;7102142384;12773304500;55277531900;6602869267;56699918600;35599662900;6701438305;7101717831;24336366800;","Maximizing ER-α Degradation Maximizes Activity in a Tamoxifen-Resistant Breast Cancer Model: Identification of GDC-0927",2019,"ACS Medicinal Chemistry Letters",2,"10.1021/acsmedchemlett.8b00414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059823971&doi=10.1021%2facsmedchemlett.8b00414&partnerID=40&md5=7611ae6794f214123df5f2d7c6485415","The further optimization of ER-α degradation efficacy of a series of ER modulators by refining side-chain substitution led to efficacious selective estrogen receptor degraders (SERDs). A fluoromethyl azetidine group was found to be preferred and resulted in the identification of bis-phenol chromene 17ha. In a tamoxifen-resistant breast cancer xenograft model, 17ha (ER-α degradation efficacy = 97%) demonstrated tumor regression, together with robust reduction of intratumoral ER-α levels. However, despite superior oral exposure, 5a (ER-α degradation efficacy = 91%) had inferior activity. This result suggests that optimizing ER-α degradation efficacy leads to compounds with robust effects in a model of tamoxifen-resistant breast cancer. Compound 17ha (GDC-0927) was evaluated in clinical trials in women with metastatic estrogen receptor-positive breast cancer. © 2018 American Chemical Society.","Final",,2-s2.0-85059823971
"Levene J.L., Weinstein E.J., Cohen M.S., Andreae D.A., Chao J.Y., Johnson M., Hall C.B., Andreae M.H.","57201731903;57201789456;7405996720;34970698400;57188724187;55723899700;7403016387;14324265100;","Local anesthetics and regional anesthesia versus conventional analgesia for preventing persistent postoperative pain in adults and children: A Cochrane systematic review and meta-analysis update",2019,"Journal of Clinical Anesthesia",,"10.1016/j.jclinane.2018.12.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059779093&doi=10.1016%2fj.jclinane.2018.12.043&partnerID=40&md5=850d9bc9aba9cb90585b2c98f21d5382","Background: Regional anesthesia may mitigate the risk of persistent postoperative pain (PPP). This Cochrane review, published originally in 2012, was updated in 2017. Methods: We updated our search of Cochrane CENTRAL, PubMed, EMBASE and CINAHL to December 2017. Only RCTs investigating local anesthetics (by any route) or regional anesthesia versus any combination of systemic (opioid or non-opioid) analgesia in adults or children, reporting any pain outcomes beyond three months were included. Data were extracted independently by at least two authors, who also appraised methodological quality with Cochrane ‘Risk of bias’ assessment and pooled data in surgical subgroups. We pooled studies across different follow-up intervals. As summary statistic, we reported the odds ratio (OR) with 95% confidence intervals and calculated the number needed to benefit (NNTB). We considered classical, Bayesian alternatives to our evidence synthesis. We explored heterogeneity and methodological bias. Results: 40 new and seven ongoing studies, identified in this update, brought the total included RCTs to 63. We were only able to synthesize data from 39 studies enrolling 3027 participants in a balanced design. Evidence synthesis favored regional anesthesia for thoracotomy (OR 0.52 [0.32 to 0.84], moderate-quality evidence), breast cancer surgery (OR 0.43 [0.28 to 0.68], low-quality evidence), and cesarean section (OR 0.46, [0.28 to 0.78], moderate-quality evidence). Evidence synthesis favored continuous infusion of local anesthetic after breast cancer surgery (OR 0.24 [0.08 to 0.69], moderate-quality evidence), but was inconclusive after iliac crest bone graft harvesting (OR 0.20, [0.04 to 1.09], low-quality evidence). Conclusions: Regional anesthesia reduces the risk of PPP. Small study size, performance, null, and attrition bias considerably weakened our conclusions. We cannot extrapolate to other interventions or to children. © 2019 Elsevier Inc.","Final",,2-s2.0-85059779093
"Whitney H.M., Drukker K., Edwards A., Papaioannou J., Giger M.L.","16053704800;6603085926;8853707000;36879600100;7103040897;","Effect of biopsy on the MRI radiomics classification of benign lesions and luminal A cancers",2019,"Journal of Medical Imaging",,"10.1117/1.JMI.6.3.031408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062734990&doi=10.1117%2f1.JMI.6.3.031408&partnerID=40&md5=010fe7151a72ce639532bb1998f26db4","Radiomic features extracted from magnetic resonance (MR) images have potential for diagnosis and prognosis of breast cancer. However, presentation of lesions on images may be affected by biopsy. Thirty-four nonsize features were extracted from 338 dynamic contrast-enhanced MR images of benign lesions and luminal A cancers (80 benign/34 luminal A prebiopsy; 46 benign/178 luminal A postbiopsy). Feature value distributions were compared by biopsy condition using the Kolmogorov-Smirnov test. Classification performance was assessed by biopsy condition in the task of distinguishing between lesion types using the area under the receiver operating characteristic curve (AUCROC) as performance metric. Superiority and equivalence testing of differences in AUCROC between biopsy conditions were conducted using Bonferroni-Holm-adjusted significance levels. Distributions for most nonsize features for each lesion type failed to show a statistically significant difference between biopsy conditions. Fourteen features outperformed random guessing in classification. Their differences in AUCROC by biopsy condition failed to reach statistical significance, but we were unable to prove equivalence using a margin of ΔAUCROC = ± 0.10. However, classification performance for lesions imaged either prebiopsy or postbiopsy appears to be similar when taking into account biopsy condition. © 2019 Society of Photo-Optical Instrumentation Engineers (SPIE).","Final",,2-s2.0-85062734990
"Scarparo D.C., Salvadeo D.H.P., Pedronette D.C.G., Barufaldi B., Maidment A.D.A.","57207688614;25031754300;36700317400;36442246700;7003761685;","Evaluation of denoising digital breast tomosynthesis data in both projection and image domains and a study of noise model on digital breast tomosynthesis image domain",2019,"Journal of Medical Imaging",,"10.1117/1.JMI.6.3.031410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062716975&doi=10.1117%2f1.JMI.6.3.031410&partnerID=40&md5=05d3aff6a15d30125b5bff5f1754213d","Digital breast tomosynthesis (DBT) is an imaging technique created to visualize 3-D mammary structures for the purpose of diagnosing breast cancer. This imaging technique is based on the principle of computed tomography. Due to the use of a dangerous ionizing radiation, the ""as low as reasonably achievable"" (ALARA) principle should be respected, aiming at minimizing the radiation dose to obtain an adequate examination. Thus, a noise filtering method is a fundamental step to achieve the ALARA principle, as the noise level of the image increases as the radiation dose is reduced, making it difficult to analyze the image. In our work, a double denoising approach for DBT is proposed, filtering in both projection (prereconstruction) and image (postreconstruction) domains. First, in the prefiltering step, methods were used for filtering the Poisson noise. To reconstruct the DBT projections, we used the filtered backprojection algorithm. Then, in the postfiltering step, methods were used for filtering Gaussian noise. Experiments were performed on simulated data generated by open virtual clinical trials (OpenVCT) software and on a physical phantom, using several combinations of methods in each domain. Our results showed that double filtering (i.e., in both domains) is not superior to filtering in projection domain only. By investigating the possible reason to explain these results, it was found that the noise model in DBT image domain could be better modeled by a Burr distribution than a Gaussian distribution. Finally, this important contribution can open a research direction in the DBT denoising problem. © 2019 Society of Photo-Optical Instrumentation Engineers (SPIE).","Final",,2-s2.0-85062716975
"Turbitt E., Roberts M.C., Taber J.M., Waters E.A., McNeel T.S., Biesecker B.B., Klein W.M.P.","36877007500;56727234500;56412552400;12783237900;6507078764;7003402224;57205462057;","Genetic counseling, genetic testing, and risk perceptions for breast and colorectal cancer: Results from the 2015 National Health Interview Survey",2019,"Preventive Medicine",,"10.1016/j.ypmed.2019.02.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062152184&doi=10.1016%2fj.ypmed.2019.02.027&partnerID=40&md5=402ceec68d96e750b33ed34698bbe70e","We examined what proportion of the U.S. population with no personal cancer history reported receiving either genetic counseling or genetic testing for cancer risk, and also the association of these behaviors with cancer risk perceptions. We used data from the 2015 National Health Interview Survey. Objective relative risk scores for breast (women) and colorectal (men and women) cancer risk were generated for individuals without a personal history of cancer. Participants' risk perceptions were compared with their objective relative risk. Of 12,631 women, 1.2% reported receiving genetic counseling and 0.8% genetic testing for hereditary breast cancer risk. Of 15,085 men and women, 0.8% reported receiving genetic counseling and 0.3% genetic testing for hereditary colorectal cancer risk. Higher breast cancer risk perception was associated with genetic counseling (OR: 4.31, 95%CI: 2.56, 7.26) and testing (OR: 3.56, 95%CI: 1.80, 7.03). Similarly, higher perception of colorectal cancer risk was associated with genetic counseling (OR: 5.04, 95%CI: 2.57, 9.89) and testing (OR: 5.92, 95%CI: 2.40, 14.63). A higher proportion of individuals with colorectal cancer risk perceptions concordant with their objective risk (vs. discordant) had undergone genetic counseling or testing for colorectal cancer risk. Concordant risk perceptions for breast cancer were not associated with breast cancer genetic counseling or testing. Given frequent dialogue about implementing population level programs involving genetic services for cancer risk, policy makers and investigators should consider the role of risk perceptions in the effectiveness and design of such programs and potential strategies for addressing inaccuracies in risk perceptions. © 2019","Final",,2-s2.0-85062152184
"Tung L., Jeong Y.J., Lane C., Carey J.N., Sposto R., Schechter N.R., Sener S.F., Lang J.E.","57195636599;55432430600;7101975096;13703019600;57203105332;7103263946;7004589767;16301307900;","Factors Leading to Decreased Rates of Immediate Postmastectomy Reconstruction",2019,"Journal of Surgical Research",,"10.1016/j.jss.2019.01.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061457191&doi=10.1016%2fj.jss.2019.01.010&partnerID=40&md5=0fd7bf003896aad9911771076a6cceba","Background: This study was performed to determine if there was a difference in immediate breast reconstruction (IBR) rates between our public hospital and private cancer center, which share a common faculty with a consistent management philosophy in multidisciplinary care. We investigated the factors affecting postmastectomy reconstruction and IBR rates. Materials and methods: We retrospectively identified women with clinical stage I-II breast cancer who underwent mastectomy at our public hospital, Los Angeles County Medical Center, and our private cancer center, Keck Hospital of USC/Norris Comprehensive Cancer Center. Univariate and multivariate analyses were performed to study predictors of IBR and any breast reconstruction. Results: Of 293 mastectomy patients, the rate of any breast reconstruction at the private cancer (56.6%) center was higher than that at the public hospital (36.2%). IBR rates for the private cancer center (93.6%) and for patients with private insurance were higher than for the public hospital (40.8%) and likewise for those without insurance (86.7% versus 45.5%). In a multivariate analysis, the odds of IBR at our private cancer center were 22.96 times higher than that at our public hospital. Age >50 y and radiotherapy were independent predictive factors associated with less likelihood of any breast reconstruction. Conclusions: Patients at the public hospital had a much lower rate of breast reconstruction than the private cancer center patients, even after controlling for stage and the team of treating physicians. Our results showed that older age and radiotherapy affect rates of breast reconstruction, as do hospital system and insurance status. © 2019 Elsevier Inc.","Final",,2-s2.0-85061457191
"Frett Utter B., Parham G.P., Mershon C.-H., Sikombe K., Musonda A., Matambo J., Kapambwe S., Msadabwe S.C., Katundu K., Bateman A., Lishimpi K., Mwanahamuntu M., Chibwesha C.J.","57207202137;7004052804;57195985870;57195984486;57195979786;57195988084;36438494800;56595285600;56231335600;56231036500;6507482157;15081039500;14055443200;","Availability of palliative care services in Zambia: A nationwide provincial and tertiary hospital survey",2019,"Journal of Cancer Policy",,"10.1016/j.jcpo.2019.100185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062260346&doi=10.1016%2fj.jcpo.2019.100185&partnerID=40&md5=02575daf9a8b407380e4328b264151b0","Background: With high rates of HIV/AIDS and rising burdens of non-communicable diseases, Zambians increasingly need palliative care. While efforts are underway to grow Zambia's palliative care system, the most recent situational analysis of palliative care in Zambia, conducted in 2008, revealed substantial gaps in availability. Methods: To provide an updated appraisal of breast and cervical cancer services in Zambia, including palliative care, we conducted a nationwide provincial and tertiary hospital survey. All 9 provincial hospitals and the University Teaching Hospital and Cancer Diseases Hospital in Lusaka Province participated (N = 11). The survey was conducted between August 2014 and January 2015 and administered in-person at each facility. Data regarding the availability of inpatient, outpatient, and community-based palliative care services, palliative medications, and psychosocial supports was obtained at each facility. The reported results are descriptive in nature. Results: Although the need for palliative care services was recognized, many facilities (64%) lack palliative care policies and only 18% offer palliative care in a coordinated program. The majority of services are only available to inpatients and rarely include community-based programs. While all facilities had adequate supplies of acetaminophen, 82% reported unavailability of codeine and 45% reported no access to oral morphine. Conclusions: This assessment confirms the dearth of palliative care services across Zambia. Less than half of its provincial hospitals offer community- or home-based services and only 55% offer opioid analgesics. Immediate and substantial improvements in policy, drug procurement and distribution, and service expansion are needed to ensure high-quality palliative care is available throughout Zambia. © 2019 Elsevier Ltd","Final",,2-s2.0-85062260346
"Ma F., Liu X., Zhou S., Li W., Liu C., Chadwick M., Qian C.","55963552000;57207111945;57207109439;57194287005;57189996543;57207115236;57207112944;","Long non-coding RNA FGF13-AS1 inhibits glycolysis and stemness properties of breast cancer cells through FGF13-AS1/IGF2BPs/Myc feedback loop",2019,"Cancer Letters",,"10.1016/j.canlet.2019.02.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062222119&doi=10.1016%2fj.canlet.2019.02.008&partnerID=40&md5=40cf01f8c9e7343503123f60e03fa313","LncRNAs have been proven to play crucial roles in various processes of breast cancer. LncRNA FGF13-AS1 has been identified as one of the 25 downregulated lncRNAs in breast cancer through analyzing data from two cohorts and TCGA by another group of our lab. In this study, we report that FGF13-AS1 expression is decreased in breast cancer tissue compared with corresponding normal tissue, and the downregulation of FGF13-AS1 is associated with poor prognosis. Functional studies show that FGF13-AS1 inhibits breast cancer cells proliferation, migration, and invasion by impairing glycolysis and stemness properties. Mechanistically, FGF13-AS1 reduces the half-life of c-Myc (Myc) mRNA by binding RNA-binding proteins, insulin-like growth factor 2 mRNA binding proteins (IGF2BPs) and disrupting the interaction between IGF2BPs and Myc mRNA. Furthermore, Myc transcriptionally inhibits FGF13-AS1, forming a feedback loop in this signaling pathway. These results reveal for the first time that FGF13-AS1 functions as a tumor suppressor by inhibiting glycolysis and stemness properties of breast cancer cells, and the FGF13-AS1/IGF2BPs/Myc feedback loop could be a novel therapeutic target for breast cancer patients. © 2019","Final",,2-s2.0-85062222119
